Table 3.7ESI. Investment in Private Fixed Assets by Industry
Table 3.7ESI. Investment in Private Fixed Assets by Industry
"Last Revised on: September 26, 2025"
Line,,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
83,"    Waste management and remediation services",3.3,3.8,4.5,4.9,6.3,5.5,4.5,4.1,4.7,6.1,4.9,5.7,6.3,6.6,7.7,7.9,8.4,9.9,8.1
84,Educational services,24.9,24.5,26.1,24.7,27.9,30.7,33.9,33.6,31.3,32.1,33.9,32.0,33.1,37.7,37.5,40.0,41.1,39.7,39.3
85,Health and social assistance,81.8,84.6,89.5,100.4,106.9,122.2,125.7,118.3,116.1,121.0,128.8,134.1,131.1,139.4,144.6,156.3,161.5,172.6,171.3
86,"    Ambulatory health care services",28.3,27.5,29.0,33.7,31.0,38.4,37.0,32.9,38.2,35.8,39.5,41.7,40.5,43.0,43.0,49.3,50.1,50.8,53.7
87,"    Hospitals",43.1,47.4,50.8,56.7,64.2,71.0,76.8,73.9,67.6,73.6,78.1,79.1,76.8,83.0,88.0,92.9,97.4,101.6,100.3
88,"    Nursing and residential care facilities",6.5,5.9,5.9,6.1,6.3,7.2,7.8,6.9,6.7,7.6,6.7,7.4,8.6,8.0,8.4,9.3,8.7,9.8,11.0
89,"    Social assistance",3.9,3.9,3.8,3.9,5.4,5.6,4.1,4.7,3.6,4.0,4.6,5.9,5.2,5.5,5.2,4.8,5.3,10.2,6.4
90,"Arts, entertainment, and recreation",23.4,23.0,24.6,24.1,25.8,29.2,29.0,28.7,24.2,24.8,26.3,28.4,34.4,33.5,43.7,43.0,48.1,48.3,40.0
91,"    Performing arts, spectator sports, museums, and related activities",12.5,14.0,14.2,14.0,13.9,17.3,16.0,14.8,13.8,15.7,15.1,15.8,18.7,18.4,21.1,20.2,21.1,22.3,20.9
92,"    Amusements, gambling, and recreation industries",10.9,9.1,10.4,10.1,11.9,11.9,13.0,13.9,10.4,9.1,11.2,12.5,15.7,15.1,22.7,22.8,27.0,26.0,19.1
93,Accommodation and food services,26.5,28.0,26.6,32.5,38.6,46.0,56.8,40.3,25.1,28.3,33.1,39.6,40.3,46.3,45.2,49.3,49.5,53.9,41.7
94,"    Accommodation",14.1,13.1,13.5,16.4,25.0,27.8,41.7,26.3,13.5,13.0,14.8,17.1,19.0,24.9,23.8,20.9,23.8,25.1,15.0
95,"    Food services and drinking places",12.4,14.9,13.1,16.1,13.7,18.1,15.1,14.0,11.6,15.3,18.3,22.4,21.3,21.4,21.4,28.5,25.7,28.8,26.7
96,"Other services, except government",29.7,33.9,30.6,30.7,34.9,38.0,37.9,32.9,29.9,29.1,29.1,29.9,36.0,41.3,45.3,39.8,43.4,47.7,47.7

Legend/Footnotes
1. NAICS crop and animal production.
2. Consists of scenic and sightseeing transportation; transportation support activities; and couriers and messengers.
"3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights."
"4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering, and related services; specialized design services; management, scientific, and technical consulting services; scientific research and development services; advertising and related services; and other professional scientific, and technical services."
5. Consists of bank and other holding companies.
Note. Estimates in this table are based on the North American Industry Classification System (NAICS).
